time_step,request_id,vnf_chain,total_destinations,destinations_connected,destinations_failed,cpu_consumed,bw_consumed,mem_consumed,total_hops,avg_hops_per_dest,fully_deployed,partial_deployed,backup_used,backup_levels,failed_nodes,failure_reasons,deployment_time
239,REQ_1092,VNF_3->VNF_2->VNF_4,5,5,0,184.0000,104.0000,291.3333,13,2.60,True,False,True,resource_aware,,,0.4821
240,REQ_1098,VNF_8->VNF_2->VNF_4,5,5,0,182.0000,65.0000,147.3333,13,2.60,True,False,True,"resource_aware,resource_aware",,,0.4819
241,REQ_1102,VNF_1->VNF_5->VNF_4,5,5,0,190.6667,72.0000,164.6667,12,2.40,True,False,True,resource_aware,,,0.4763
242,REQ_1110,VNF_5->VNF_6->VNF_7,5,5,0,140.0000,80.0000,80.0000,16,3.20,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.4808
243,REQ_1118,VNF_6->VNF_2->VNF_1,5,5,0,224.0000,54.0000,112.0000,9,1.80,True,False,True,"smart_greedy,resource_aware",,,0.4781
244,REQ_1121,VNF_1->VNF_3->VNF_4,5,5,0,180.0000,144.0000,173.3333,18,3.60,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.4841
245,REQ_1127,VNF_2->VNF_8->VNF_5,5,5,0,238.0000,136.0000,231.0000,17,3.40,True,False,True,"resource_aware,resource_aware",,,0.4807
246,REQ_1131,VNF_3->VNF_5->VNF_2,5,5,0,160.0000,128.0000,293.3333,16,3.20,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.5621
247,REQ_1138,VNF_6->VNF_4->VNF_1,5,5,0,162.0000,44.0000,72.0000,11,2.20,True,False,True,resource_aware,,,0.5043
248,REQ_1142,VNF_2->VNF_5->VNF_4,5,5,0,158.3333,78.0000,225.0000,13,2.60,True,False,True,"smart_greedy,smart_greedy,resource_aware",,,0.4783
249,REQ_1149,VNF_5->VNF_3->VNF_2,5,5,0,64.0000,72.0000,117.3333,18,3.60,True,False,True,"resource_aware,resource_aware",,,0.4860
250,REQ_1152,VNF_6->VNF_4->VNF_1,5,5,0,205.3333,84.0000,88.0000,14,2.80,True,False,True,resource_aware,,,0.4801
251,REQ_1158,VNF_5->VNF_4->VNF_2,5,5,0,86.6667,64.0000,120.0000,16,3.20,True,False,True,"resource_aware,resource_aware",,,0.4766
252,REQ_1163,VNF_4->VNF_3->VNF_8,5,5,0,161.0000,119.0000,175.0000,17,3.40,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.4783
253,REQ_1166,VNF_4->VNF_8->VNF_3,5,5,0,95.3333,56.0000,102.6667,14,2.80,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.4773
254,REQ_1172,VNF_1->VNF_5->VNF_6,5,5,0,253.0000,98.0000,145.6667,14,2.80,True,False,True,"smart_greedy,resource_aware,resource_aware",,,0.4944
